,borough_code,borough,Neighborhood,Zip,naics,est,median_income,white_pop,afr_am_pop,asian_pop,nat_am_pacif_pop,other_pop,multi_race_pop,population,Lat,Lng,white_pop_percent,afr_am_pop_percent,asian_pop_percent,nat_am_pacif_pop_percent,other_pop_percent,multi_race_pop_percent
145,4,Queens,Southeast Queens,11413,713940,1,83459,957,39347,579,82,82,678,41725,40.6719,-73.75203,2.3,94.3,1.39,0.2,0.2,1.62
146,4,Queens,Southeast Queens,11422,713940,1,86996,2177,28615,710,0,0,785,32287,40.66345,-73.73432,6.7,88.6,2.2,0,0,2.43
147,4,Queens,Southeast Queens,11426,713940,2,83376,8767,1031,8931,0,0,642,19371,40.73312,-73.72194,45.3,5.3,46.11,0,0,3.31
148,4,Queens,Southeast Queens,11427,713940,1,72874,6298,5247,8036,0,0,1487,21068,40.72801,-73.7505,29.9,24.9,38.14,0,0,7.06
40,1,Brooklyn,Southern Brooklyn,11223,713940,11,46310,48854,3684,19523,138,138,1932,74269,40.59857,-73.97318,65.8,5,26.29,0.19,0.19,2.6
41,1,Brooklyn,Southern Brooklyn,11224,713940,3,31630,26169,10657,2673,24,24,1150,40697,40.57709,-73.98646,64.3,26.2,6.57,0.06,0.06,2.83
42,1,Brooklyn,Southern Brooklyn,11229,713940,6,59287,56521,4860,19088,76,76,1578,82199,40.60242,-73.94901,68.8,5.9,23.22,0.09,0.09,1.92
43,1,Brooklyn,Southern Brooklyn,11235,713940,7,49653,61548,2046,11422,0,0,1793,76809,40.58329,-73.95443,80.1,2.7,14.87,0,0,2.33
30,1,Brooklyn,Southwest Brooklyn,11209,713940,7,69578,50779,1618,9055,35,35,2280,63802,40.6243,-74.03,79.6,2.5,14.19,0.05,0.05,3.57
31,1,Brooklyn,Southwest Brooklyn,11214,713940,5,53151,48521,1404,35001,12,12,1724,86674,40.60171,-73.99618,56,1.6,40.38,0.01,0.01,1.99
32,1,Brooklyn,Southwest Brooklyn,11228,713940,2,63697,26445,405,14861,34,34,778,42557,40.61853,-74.01112,62.1,1,34.92,0.08,0.08,1.83
